日付,曜日,週末,祝祭日,特別連休,特別連休＆隣接休日,連休○日目,○日連休,祝祭日名,特別連休名,特別連休名（隣接含）,翌日が休日
2018/08/07,火,0,0,0,0,0,0,,,,0
2018/08/08,水,0,0,0,0,0,0,,,,0
2018/08/09,木,0,0,0,0,0,0,,,,0
2018/08/10,金,0,0,0,0,0,0,,,,1
2018/08/11,土,1,0,0,1,1,9,,,盆,1
2018/08/12,日,1,0,0,1,2,9,,,盆,3
2018/08/13,月,0,0,1,1,3,9,,盆,盆,3
2018/08/14,火,0,0,1,1,4,9,,盆,盆,3
2018/08/15,水,0,0,1,1,5,9,,盆,盆,3
2018/08/16,木,0,0,1,1,6,9,,盆,盆,3
2018/08/17,金,0,0,1,1,7,9,,盆,盆,1
2018/08/18,土,1,0,0,1,8,9,,,盆,1
2018/08/19,日,1,0,0,1,9,9,,,盆,0
2018/08/20,月,0,0,0,0,0,0,,,,0
2018/08/21,火,0,0,0,0,0,0,,,,0
2018/08/22,水,0,0,0,0,0,0,,,,0
2018/08/23,木,0,0,0,0,0,0,,,,0
2018/08/24,金,0,0,0,0,0,0,,,,1
2018/08/25,土,1,0,0,0,1,2,,,,1
2018/08/26,日,1,0,0,0,2,2,,,,0
2018/08/27,月,0,0,0,0,0,0,,,,0
2018/08/28,火,0,0,0,0,0,0,,,,0
2018/08/29,水,0,0,0,0,0,0,,,,0
2018/08/30,木,0,0,0,0,0,0,,,,0
2018/08/31,金,0,0,0,0,0,0,,,,1
2018/09/01,土,1,0,0,0,1,2,,,,1
2018/09/02,日,1,0,0,0,2,2,,,,0
2018/09/03,月,0,0,0,0,0,0,,,,0
2018/09/04,火,0,0,0,0,0,0,,,,0
2018/09/05,水,0,0,0,0,0,0,,,,0
2018/09/06,木,0,0,0,0,0,0,,,,0
2018/09/07,金,0,0,0,0,0,0,,,,1
2018/09/08,土,1,0,0,0,1,2,,,,1
2018/09/09,日,1,0,0,0,2,2,,,,0
2018/09/10,月,0,0,0,0,0,0,,,,0
2018/09/11,火,0,0,0,0,0,0,,,,0
2018/09/12,水,0,0,0,0,0,0,,,,0
2018/09/13,木,0,0,0,0,0,0,,,,0
2018/09/14,金,0,0,0,0,0,0,,,,1
2018/09/15,土,1,0,0,0,1,3,,,,1
2018/09/16,日,1,0,0,0,2,3,,,,2
2018/09/17,月,0,1,0,0,3,3,敬老の日,,,0
2018/09/18,火,0,0,0,0,0,0,,,,0
2018/09/19,水,0,0,0,0,0,0,,,,0
2018/09/20,木,0,0,0,0,0,0,,,,0
2018/09/21,金,0,0,0,0,0,0,,,,1
2018/09/22,土,1,0,0,0,1,3,,,,2
2018/09/23,日,1,1,0,0,2,3,秋分の日,,,2
2018/09/24,月,0,1,0,0,3,3,●振替（09/23）,,,0
2018/09/25,火,0,0,0,0,0,0,,,,0
2018/09/26,水,0,0,0,0,0,0,,,,0
2018/09/27,木,0,0,0,0,0,0,,,,0
2018/09/28,金,0,0,0,0,0,0,,,,1
2018/09/29,土,1,0,0,0,1,2,,,,1
2018/09/30,日,1,0,0,0,2,2,,,,0
2018/10/01,月,0,0,0,0,0,0,,,,0
2018/10/02,火,0,0,0,0,0,0,,,,0
2018/10/03,水,0,0,0,0,0,0,,,,0
2018/10/04,木,0,0,0,0,0,0,,,,0
2018/10/05,金,0,0,0,0,0,0,,,,1
2018/10/06,土,1,0,0,0,1,3,,,,1
2018/10/07,日,1,0,0,0,2,3,,,,2
2018/10/08,月,0,1,0,0,3,3,体育の日,,,0
2018/10/09,火,0,0,0,0,0,0,,,,0
2018/10/10,水,0,0,0,0,0,0,,,,0
2018/10/11,木,0,0,0,0,0,0,,,,0
2018/10/12,金,0,0,0,0,0,0,,,,1
2018/10/13,土,1,0,0,0,1,2,,,,1
2018/10/14,日,1,0,0,0,2,2,,,,0
2018/10/15,月,0,0,0,0,0,0,,,,0
2018/10/16,火,0,0,0,0,0,0,,,,0
2018/10/17,水,0,0,0,0,0,0,,,,0
2018/10/18,木,0,0,0,0,0,0,,,,0
2018/10/19,金,0,0,0,0,0,0,,,,1
2018/10/20,土,1,0,0,0,1,2,,,,1
2018/10/21,日,1,0,0,0,2,2,,,,0
2018/10/22,月,0,0,0,0,0,0,,,,0
2018/10/23,火,0,0,0,0,0,0,,,,0
2018/10/24,水,0,0,0,0,0,0,,,,0
2018/10/25,木,0,0,0,0,0,0,,,,0
2018/10/26,金,0,0,0,0,0,0,,,,1
2018/10/27,土,1,0,0,0,1,2,,,,1
2018/10/28,日,1,0,0,0,2,2,,,,0
2018/10/29,月,0,0,0,0,0,0,,,,0
2018/10/30,火,0,0,0,0,0,0,,,,0
